,t,T,s,i,o,c,h,l,v,n
0,2020-08-19,2020-08-19 23:59:59.999,ETH,1d,421.92,407.46,426.75,393.25,978339.69221,455992
1,2020-08-20,2020-08-20 23:59:59.999,ETH,1d,407.46,415.94,418.98,402.07,663555.73445,322537
2,2020-08-21,2020-08-21 23:59:59.999,ETH,1d,415.94,387.97,418.68,385.1,860998.7256,414222
3,2020-08-22,2020-08-22 23:59:59.999,ETH,1d,387.93,395.24,397.04,379.92,643235.76543,305450
4,2020-08-23,2020-08-23 23:59:59.999,ETH,1d,395.23,390.71,396.95,383.15,445317.81989,222729
5,2020-08-24,2020-08-24 23:59:59.999,ETH,1d,390.72,407.68,410.42,387.44,717403.81877,307676
6,2020-08-25,2020-08-25 23:59:59.999,ETH,1d,407.68,382.93,409.06,370.0,970445.38395,411636
7,2020-08-26,2020-08-26 23:59:59.999,ETH,1d,382.91,385.81,392.91,377.37,738690.7794,351141
8,2020-08-27,2020-08-27 23:59:59.999,ETH,1d,385.81,383.27,397.1,371.48,877763.73658,392116
9,2020-08-28,2020-08-28 23:59:59.999,ETH,1d,383.31,395.11,398.0,379.75,732601.46905,311832
10,2020-08-29,2020-08-29 23:59:59.999,ETH,1d,395.1,398.65,405.69,391.88,659802.63344,300090
11,2020-08-30,2020-08-30 23:59:59.999,ETH,1d,398.65,428.94,429.89,398.3,894979.71788,395838
12,2020-08-31,2020-08-31 23:59:59.999,ETH,1d,428.94,433.79,439.0,418.04,1040748.68881,456201
13,2020-09-01,2020-09-01 23:59:59.999,ETH,1d,433.8,475.4,488.84,429.03,1751354.57719,763508
14,2020-09-02,2020-09-02 23:59:59.999,ETH,1d,475.4,439.5,481.39,420.0,1880642.46853,825133
15,2020-09-03,2020-09-03 23:59:59.999,ETH,1d,439.5,381.4,450.7,372.0,2408569.34151,903066
16,2020-09-04,2020-09-04 23:59:59.999,ETH,1d,381.35,385.26,400.21,357.0,1806488.22474,744610
17,2020-09-05,2020-09-05 23:59:59.999,ETH,1d,385.3,335.01,395.0,308.42,2777166.51389,1074986
18,2020-09-06,2020-09-06 23:59:59.999,ETH,1d,335.04,352.8,360.0,316.1,2017811.14721,852597
19,2020-09-07,2020-09-07 23:59:59.999,ETH,1d,352.85,353.59,358.51,323.0,1740618.42462,708066
20,2020-09-08,2020-09-08 23:59:59.999,ETH,1d,353.59,337.39,356.58,325.38,1400246.82962,554846
21,2020-09-09,2020-09-09 23:59:59.999,ETH,1d,337.41,350.85,359.0,330.51,879760.56255,381038
22,2020-09-10,2020-09-10 23:59:59.999,ETH,1d,350.85,367.93,377.25,349.91,1134287.61137,512819
23,2020-09-11,2020-09-11 23:59:59.999,ETH,1d,367.93,373.63,375.27,355.49,844017.59966,367615
24,2020-09-12,2020-09-12 23:59:59.999,ETH,1d,373.62,387.78,388.57,364.73,766542.31635,318774
25,2020-09-13,2020-09-13 23:59:59.999,ETH,1d,387.78,366.42,390.43,350.0,989195.69047,430236
26,2020-09-14,2020-09-14 23:59:59.999,ETH,1d,366.43,377.12,384.64,355.73,1042059.62265,476828
27,2020-09-15,2020-09-15 23:59:59.999,ETH,1d,377.12,364.06,382.47,362.34,883856.33005,405048
28,2020-09-16,2020-09-16 23:59:59.999,ETH,1d,364.05,365.11,373.45,355.0,841709.98939,371665
29,2020-09-17,2020-09-17 23:59:59.999,ETH,1d,365.04,389.36,394.14,363.3,1256300.411,505247
30,2020-09-18,2020-09-18 23:59:59.999,ETH,1d,389.35,384.39,392.58,375.33,804194.47219,323159
31,2020-09-19,2020-09-19 23:59:59.999,ETH,1d,384.4,385.25,388.72,377.0,570908.33553,230924
32,2020-09-20,2020-09-20 23:59:59.999,ETH,1d,385.25,371.04,385.45,365.0,693164.40144,275295
33,2020-09-21,2020-09-21 23:59:59.999,ETH,1d,371.04,340.36,376.8,331.0,1283946.03098,472560
34,2020-09-22,2020-09-22 23:59:59.999,ETH,1d,340.31,344.21,346.91,335.34,842731.12878,286593
35,2020-09-23,2020-09-23 23:59:59.999,ETH,1d,344.18,320.72,344.65,313.29,940904.49756,323226
36,2020-09-24,2020-09-24 23:59:59.999,ETH,1d,320.72,348.97,353.1,316.67,1071705.09721,371450
37,2020-09-25,2020-09-25 23:59:59.999,ETH,1d,348.97,351.92,358.0,337.58,860643.77924,310536
38,2020-09-26,2020-09-26 23:59:59.999,ETH,1d,351.93,353.92,356.4,345.88,530879.20755,217834
39,2020-09-27,2020-09-27 23:59:59.999,ETH,1d,353.95,357.49,362.14,347.24,569568.55041,230526
40,2020-09-28,2020-09-28 23:59:59.999,ETH,1d,357.58,353.96,368.2,351.7,757758.4304,261317
41,2020-09-29,2020-09-29 23:59:59.999,ETH,1d,353.91,359.79,360.63,350.45,585143.16892,214988
42,2020-09-30,2020-09-30 23:59:59.999,ETH,1d,359.78,359.83,361.5,351.56,498943.23226,173910
43,2020-10-01,2020-10-01 23:59:59.999,ETH,1d,359.83,352.85,370.45,345.51,758349.31959,288354
44,2020-10-02,2020-10-02 23:59:59.999,ETH,1d,352.83,345.6,354.55,334.24,733571.84211,286023
45,2020-10-03,2020-10-03 23:59:59.999,ETH,1d,345.6,345.95,351.0,343.7,303595.71901,136755
46,2020-10-04,2020-10-04 23:59:59.999,ETH,1d,345.94,352.37,354.45,343.81,343932.91712,138736
47,2020-10-05,2020-10-05 23:59:59.999,ETH,1d,352.34,353.62,356.1,348.54,376740.30692,145787
48,2020-10-06,2020-10-06 23:59:59.999,ETH,1d,353.63,340.75,355.1,336.8,640063.26951,240812
49,2020-10-07,2020-10-07 23:59:59.999,ETH,1d,340.8,341.58,342.85,332.18,541928.86376,195112
50,2020-10-08,2020-10-08 23:59:59.999,ETH,1d,341.58,350.95,353.32,334.21,631794.8756,220053
51,2020-10-09,2020-10-09 23:59:59.999,ETH,1d,350.94,365.02,368.33,347.32,650478.19338,241168
52,2020-10-10,2020-10-10 23:59:59.999,ETH,1d,365.01,370.52,378.4,364.71,591005.32129,253825
53,2020-10-11,2020-10-11 23:59:59.999,ETH,1d,370.51,374.16,377.6,368.87,373318.23779,164475
54,2020-10-12,2020-10-12 23:59:59.999,ETH,1d,374.17,386.51,394.8,365.58,844422.65444,309500
55,2020-10-13,2020-10-13 23:59:59.999,ETH,1d,386.51,381.04,387.75,374.51,645141.91394,239460
56,2020-10-14,2020-10-14 23:59:59.999,ETH,1d,381.05,378.69,387.41,373.13,569557.82936,214375
57,2020-10-15,2020-10-15 23:59:59.999,ETH,1d,378.69,377.64,381.79,369.85,634038.09453,228454
58,2020-10-16,2020-10-16 23:59:59.999,ETH,1d,377.63,365.5,379.83,361.18,654029.36404,255775
59,2020-10-17,2020-10-17 23:59:59.999,ETH,1d,365.5,368.32,370.46,363.36,285578.24537,126045
60,2020-10-18,2020-10-18 23:59:59.999,ETH,1d,368.31,378.11,378.64,367.1,323468.47095,133043
61,2020-10-19,2020-10-19 23:59:59.999,ETH,1d,378.12,379.3,384.32,372.5,577252.90265,224887
62,2020-10-20,2020-10-20 23:59:59.999,ETH,1d,379.3,368.52,380.73,365.27,617309.81677,251051
63,2020-10-21,2020-10-21 23:59:59.999,ETH,1d,368.53,390.38,401.49,367.74,1221663.63784,450963
64,2020-10-22,2020-10-22 23:59:59.999,ETH,1d,390.31,413.98,420.73,390.21,1095897.20667,412013
65,2020-10-23,2020-10-23 23:59:59.999,ETH,1d,413.94,409.11,419.33,401.3,727832.3224,293671
66,2020-10-24,2020-10-24 23:59:59.999,ETH,1d,409.19,412.14,416.66,407.0,419236.87106,182680
67,2020-10-25,2020-10-25 23:59:59.999,ETH,1d,412.14,405.86,417.4,402.5,415586.9761,177854
68,2020-10-26,2020-10-26 23:59:59.999,ETH,1d,405.85,392.52,411.11,382.3,895142.67266,329493
